,date,top_50_trends
10,2019-01-11,"['fridayreads', 'snowpocalypse', 'nerevs', 'lufc', 'newmusicfriday', 'bwayconfetch', 'fursuitfriday', 'cf97', 're2demo', 'veganmusicband', 'typoaspecies', 'princekyungsooday', 'dodgers', 'stlwx', 'mlssuperdraft', 'humantraffickingawarenessday', 'slangyouprobablyforgot', 'snowmageddon', 'groveland four', 'the yankees', 'don tchilao', 'jordan weal', 'hassani dotson', 'rece buckmaster', 'dan enos', 'anderson asiedu', 'choose your own adventure', 'janeane garofalo', 'logan paul', 'drew richmond', 'tucker bone', 'transfer portal', 'tim scott', 'rick nash', 'damon arnette', 'teryl austin', 'randy pitchford', 'mike priefer', 'alan moore', 'bruce allen', 'dan clark', 'dj lemahieu', 'joe lieberman', 'coming to america 2', 'fridaythoughts', 'flashbackfriday', 'superdraft', 'fridayfeeling', 'nationalmilkday', 'russell martin']"
11,2019-01-12,"['runbernierun', 'julian2020', 'chiefkingdom', 'takeafilmbacktothefuture', 'nxtuktagtitles', 'myreallifelawandorder', 'gocolts', 'russianasset', 'caturday', 'divisionalweekend', 'ukwomenstitle', 'its2019andwestillcant', 'camfam', 'snowpocalypse2019', 'coltsnation', 'kcvsind', 'coltsforged', 'nxt uk', 'tre jones', 'noles', 'joe coffey', 'ted valentine', 'chris collinsworth', 'go colts', 'andy reid', 'damien williams', 'dickie v', 'walter', 'toni storm', 'arrowhead', 'ebron', 'tv teddy', 'julian castro', 'rae sremmurd', 'nxttakeoverblackpool', 'pete dunne', 'sammy watkins', 'mahomes', 'ukchampionship', 'dick vitale', 'rj barrett', 'letsroll', 'zion', 'florida state', 'chiefs', 'coach k', 'indvskc', 'nxtuktakeover', 'duke', 'cam reddish']"
12,2019-01-13,"['tb12', 'beatla', 'gosaints', 'stillhere', '2009v2019', 'sundayfunday', 'boltup', 'totmun', 'bestworkperks', 'mufc', 'afcdivisional', 'homeinthedome', 'issaproudhomo', 'saints', 'fightforeachother', 'cbbus2', 'phivsno', 'foxboro', 'phillip', 'gilmore', 'who dat', 'celebrity big brother', 'keenan allen', 'gillette', 'on to kansas city', 'james white', 'big boi', 'belichick', 'bon jovi', 'edelman', 'afc championship', 'gronk', 'bye bye bye', 'antonio gates', 'maroon 5', 'flyeagelsfly', 'de gea', 'bradley beal', 'nevslac', 'whodat', 'tony romo', 'sony michel', 'new england', 'everythingwegot', 'rivers', 'pats', 'tom brady', 'lacvsne', 'patriots', 'chargers']"
13,2019-01-14,"['trumpunthinkable', 'wouldruindinner', 'notspam', 'nationaldressupyourpetday', 'hyungwonday', 'snapp', 'askseb', 'tellevopacoachellachallenge', 'ccsd93', 'mondaymood', 'fyrefraud', 'motivationmonday', 'd93innovates', 'azleg', 'adamgase', 'musicmonday', 'shutdownasong', 'asibentoverinoticed', 'thingsthatmatteraz', 'reversethefee', 'utlastrong', 'utlastrike', 'mciwol', 'mondaythoughts', 'boly', 'we believe', 'player of the week', 'ryan pace', 'kareem hunt', 'the best men can be', 'christopher johnson', 'laporte', 'capela', 'many men', 'supra', 'rob kardashian', 'munchak', 'fyre festival', 'chris pratt', 'jake patterson', 'rand paul', '7wordsuperpower', 'mel stottlemyre', 'cleopatra', 'lausdstrike', '10yearchallenge', 'laura loomer', 'mondaymotivation', 'kyler murray', 'my1stconcertwas']"
14,2019-01-15,"['5yearswithgot7', 'tacotuesday', 'clemsonwhitehouse', 'getwellsoonjungkook', 'inmomspurse', 'farfromhome', 'ishouldgetpointsfor', '2020census', 'genda', 'tbinchat', 'ittooksometimeto', '10yearchallege', '2019justiceagenda', 'mpatuo', 'stateofthestate', 'mlk90', 'hamberders', 'iwsgpit', 'tuesdaythoughts', 'endgame', 'anuel', 'jazz fest', 'marsha blackburn', 'european union', 'bikini kill', 'karol g', 'house judiciary committee', 'house of commons', 'bobby johnson', 'nairobi', 'john wetteland', 'jeremy corbyn', 'corey brewer', 'citrus college', 'jake gyllenhaal', 'state of the state', 'parliament', 'mysterio', 'far from home', 'romanticbands', 'carol channing', 'bonnaroo', 'sharetowin', 'gillette', 'barr', 'spider-man', 'theresa may', 'spidermanfarfromhome', 'nationalhatday', 'brexit']"
15,2019-01-16,"['copadelrey', 'wednesdaythoughts', 'funkotwitterlive', 'citygirls', 'selfiesforbigplans', 'thenflin5words', 'wallpaperwednesday', 'ghostbusters', 'ngthecandidates', 'stateoftheunion', 'raisethewage', 'inmydaywe', 'dragonballsuperbroly', 'boomersooner', '10yearscallenge', 'bigdraco', 'whenmomsaysmaybe', 'spencer rattler', 'ian clarkin', 'hurts to ou', 'breakfast club', 'art rooney ii', 'hurts to oklahoma', 'to catch a predator', 'austin kendall', 'john engler', 'manbij', 'chris hansen', 'the revival', 'big soulja', 'karen pence', 'slack', 'wilmer flores', 'lincoln riley', 'marty brennaman', 'heisman', 'sade', 'bigplans', 'darrell bevell', 'museumselfieday', 'sotu', 'big draco', 'space force', 'isis', 'wednesdaywisdom', 'state of the union', 'appreciateadragonday', 'twerk', 'jalen hurts', 'soulja boy']"
16,2019-01-17,"['stops109', 'sotforum', 'ripmaryoliver', 'gettoknowyourcustomersday', 'mpatuo', 'haveacokeanda', 'ham4pr', 'takingmyshot', 'advicefrommygrandma', 'canelojacobs', 'baraka', 'chapter 3', 'bogotá', 'canelo vs jacobs', 'vampire weekend', 'sounders', 'geras', 'sonny gray', 'luke kornet', 'michelle obama', 'wild geese', 'victor rask', 'winter storm watch', 'nino', 'skarlet', 'the yankees', 'james blake', 'mk 11', 'ronda rousey', 'jack dorsey', 'sonya blade', 'zulily', '3 chicago', 'brussels', 'prince philip', 'michael cohen', 'rejectedweddingvows', 'codel', 'johnwick3', 'adam ottavino', 'betty white', 'thursdaythoughts', 'mortal kombat', 'laquan mcdonald', 'afghanistan', 'john wick', 'mortalkombat11', 'pelosi', 'mk11', 'mary oliver']"
17,2019-01-18,"['morethanthatvideo', 'friyay', 'exposechristianschools', 'fursuitfriday', 'discordpaxsouth', 'whyimafraidtocommit', 'redfriday', 'cubscon', 'nationalmichiganday', 'screwupasaying', 'insteadofcrying', 'tsgfcb', 'newmusicfriday', 'blackoutbts', 'lt2019', 'fridaythoughts', 'whywemarch', 'flashbackfriday', 'winniethepoohday', 'chairman kim', 'kellen moore', 'goretzka', 'kim yong chol', 'jr. day', 'nick redman', 'jalen catalon', 'bayern', 'joe moglia', 'winter storm warning', 'daniel hambrick', 'ben watson', 'trump-kim', 'pretty boy swag', 'conspiracy series', 'north korean', 'sony music', 'march for life', 'bikini kill', 'unsolved mysteries', 'kim jong un', 'makesmesqueamish', 'ben shapiro', 'ciara', 'princess nokia', 'tbaskscb', 'fridayfeeling', 'scott linehan', 'presidentpelosi', 'marchforlife', 'baby hitler']"
18,2019-01-19,"['saturdaythoughts', 'livcry', 'nationalpopcornday', 'caturday', 'arscfc', 'happybirthdaymacmiller', 'saturdaymorning', 'whywelovegingers', 'auntmaydidntknow', 'fyrefestivalnetflix', 'womensmarchla', 'nathanphillips', 'boilerup', 'badgers', 'hailwv', 'covingtoncatholichighschool', 'frausa', '2019debate', 'coyg', 'womenswave', 'usavfra', 'onwisconsin', 'ethan happ', '7 kansas', 'dolan', 'indigenous peoples march', 'bill self', 'kohl center', 'kris bryant', 'marcus garrett', 'country roads', 'bellerin', 'sarri', 'romeo langford', 'happy birthday mac', 'dreamers', 'arsenal', 'exposechristianschools', 'mac miller', 'chelsea', 'grant williams', 'daca', 'john petty', 'covington catholic', 'uswnt', 'native american', 'iiviewingparty', 'iubb', 'maga', 'womensmarch2019']"
19,2019-01-20,"['wshvschi', 'sundaythoughts', 'jimmybuffett', 'sundaymorning', 'capshawks', 'superbowl53', 'sundayfunday', 'coys', 'ramsnation', 'geauxsaints', 'firstthoughtswheniwakeup', 'saintsgameday', 'ramsvssaints', 'blackhawks', 'radiantlgbtq', 'gosaints', 'homeinthedome', 'fulham', 'kellen moore', 'patrick kane', 'troy aikman', 'margaritaville', 'toews', 'aquarius', 'erykah badu', 'love will tear us apart', 'aaron sorkin', 'saints and patriots', 'rams d', 'josh hill', 'go saints', 'joy division', 'go rams', 'rams and chiefs', 'saints and chiefs', 'superdome', 'tomi lahren', 'dan arnold', 'national anthem', 'kamara', 'gurley', 'who dat', 'goff', 'demario davis', 'saintsvsrams', 'championshipsunday', 'whodat', 'nfcchampionship', 'jimmy buffet', 'larvsno']"
20,2019-01-21,"['civilrights', 'jasmineeiland', 'iwouldneverever', 'wizpistons', 'dayofservice', 'covingtonboys', 'bluemonday', 'mondaymorning', 'nationalhugday', 'drmartinlutherkingjr', 'freezingcold', 'kamalaharris2020', 'squirrelappreciationday', 'motivationmonday', 'mondaythoughts', 'mlk90', 'giveafilmahug', 'mlknow', 'mydreamin4words', 'onehugaday', 'nationalhuggingday', 'ihaveadream', 'kamala2020', 'kevin huerter', 'mlk memorial', 'thomas bryant', 'nick sandmann', 'brook lopez', 'eric bledsoe', 'cam payne', 'birmingham jail', 'pro bowl', 'ta-nehisi coates', 'mlk jr.', 'arthur smith', 'i have a dream', 'raymond felton', 'happy mlk', 'mlkjr', 'mondaymotivation', 'mlk day', 'iman', 'dr. martin luther king', 'teyana', 'martinlutherkingjrday', 'martin luther king jr.', 'dr. king', 'kamala harris', 'mlk2019', 'mlkday']"
21,2019-01-22,"['themagicians', 'howweheal', 'edgarhof', 'imsopettyi', 'traveltuesday', 'whatsapp', 'roe46', 'hof2019', 'tuesdaymotivation', 'transrightsarehumanrights', 'roadrockers', 'scotus', 'gustavo tarre briceño', 'chris cuomo', 'brewers', 'first reformed', 'taco tuesday', 'first man', 'olivia ambrose', 'paddington 2', 'brian callahan', 'best director', 'sorry to bother you', 'tim howard', 'american family insurance', 'eighth grade', 'harris wofford', 'jacob wohl', 'rex ryan', ""won't you be my neighbor"", 'mariano rivera', 'bradley cooper', 'roma', 'toni collette', 'academy', 'kaye ballard', 'the favourite', 'bob sutton', 'roevwade', 'bohemian rhapsody', 'insteadoftacos', 'itshouldbeillegalto', 'miller park', 'supreme court', 'tuesdaythoughts', 'best picture', 'transmilitaryban', 'black panther', 'oscar', 'chris brown']"
22,2019-01-23,"['wallpaperwednesday', 'rejectedblizzardnames', 'mayorsdc19', 'nationalhandwritingday', 'endingscenejk', 'bestfanarmy', 'funkotwitterlive', 'wellnesswednesday', 'thankyouforpromise', 'fyrefestivaldocumentary', 'ineedagadgetfor', 'codegoals', 'healthyairforall', 'probowl', 'wednesdaymotivation', 'gritemosconbrio', 'iwishschoolhadtaughtme', 'mysignificantothernever', '23ene', 'libraryshelfieday', 'wednesdaythoughts', 'mr. cohen', 'de jong', 'house oversight committee', 'build a wall & crime will fall', 'state of union', 'trump and giuliani', 'pete buttigieg', 'larry fitzgerald', 'alec baldwin', 'lil mo', ""president's state of the union"", ""michael cohen's house"", 'guaido', 'lara trump', 'house chamber', 'drew pomeranz', 'sebring', 'nathan sutherland', 'jonas mekas', 'presidente', 'thankyoujimin', 'ozuna', 'leadersedge', 'bryan singer', 'juan guaidó', 'itsbeen20yearssince', 'wednesdaywisdom', 'nationalpieday', 'venezuela']"
23,2019-01-24,"['wiveng', '24ene', 'futureofsocial', 'season11', 'tbthursday', 'happybirthdaydeanwinchester', 'beercanappreciationday', 'ha2019', 'tedbundytapes', 'thursdaymorning', 'hotones', 'alphastar', 'nachofries', 'imsotired', 'idontknowmuchbut', 'tealalbum', 'ruveal', 'innermonologuepart1', 'whatatime', 'anxietyoutnow', 'thursdaymotivation', 'punaquote', 'monaco', 'what a time', 'huffpost', 'lebowski', 'commerce secretary', 'serenity', 'harmony hall', 'derek carr', 'puig', 'season 11', 'jeff bridges', 'gordon ramsay', 'thierry henry', 'the dude', 'senate intelligence committee', 'brad brach', 'educationday', 'hot ones', 'no scrubs', 'aj pollock', 'vampire weekend', 'ted bundy', 'nationalpeanutbutterday', 'iamoldenoughto', 'weezer', 'thursdaythoughts', 'wilbur ross', 'nationalcomplimentday']"
24,2019-01-25,"['eitcawarenessday', 'muellerinvestigation', 'soulties', 'prnews', 'witchhunt', 'funfactfriday', 'indictmentfriday', 'nationalfloridaday', 'playstationwrapup', 'stoneindictment', 'hbdimday', 'fursuitfriday', 'newmusicfriday', 'sellsomethingpoorly', 'whatilikeaboutyou', 'keepyourfriendscloseandyour', 'fridayreads', 'muellertime', 'fridaythoughts', 'rogerstoneindictment', 'shutdownimpact', 'ialwaysthoughtlifewas', 'youtubein5words', 'flashbackfriday', 'fridaymotivation', 'retro studios', 'paul manafort', 'once upon a time in hollywood', 'kim k', 'robert mueller', 'johns hopkins', 'adam vinatieri', 'princess diaries 3', 'sarah sanders', 'newseum', 'lock him up', 'wikileaks', 'justin wilson', 'marcus garvey', 'lockhimup', 'metroid prime 4', 'anthem', 'rogerstonearrested', 'laguardia', 'muellerfriday', 'the game', 'nixon', 'fridayfeeling', 'rose garden', 'roger stone']"
25,2019-01-26,"['24in48', 'benimleevlenirmisin', 'saturdayvibes', 'designcamp', 'morerelevantthananncoulter', 'gasparilla', 'dodgersff', '26ene', 'partydownsouth', 'positivementalattitude', 'evenbaconcantimprove', 'amjoy', 'womenincloud', 'okletsbehonest', '2000spacktunes', 'nxttakeover', 'rwby6', 'secbig12', 'nationalspousesday', 'btsloveyourselftourinseoul', 'shesoars', 'saturdaymotivation', 'rolex24', 'neverbernie', 'whyiskippedtheclub', 'labortvshowsorfilms', 'genlock', 'saturdaythoughts', 'jalen hudson', 'mark turgeon', 'arreaza', 'kaleb wesson', 'melania trump', 'paul newman', 'naomi osaka', 'mike white', 'big 12 challenge', 'kyle guy', 'jimmy ma', 'cam reddish', 'tim miles', 'nathan chen', 'hidden scroll', 'michel legrand', 'tevian jones', 'youknowsomeoneisguilty', 'saturdaymorning', 'caturday', 'loveyourselfinseoulfilm', 'bernie2020']"
26,2019-01-27,"['thisweek', 'zioniscallingme', 'hoyas', 'fetc', 'selfcaresunday', 'shouldbedonebyaprofessional', 'tphonline', 'meetthepress', 'shakespearesunday', 'lazysunday', '27ene', 'superbowliii', 'amjoy', 'brewersondeck', 'sundayvibes', 'nationalchocolatecakeday', 'cheswe', 'pcbb', 'crytot', 'idusetheinfinitystonesto', 'rentlive', 'sundaymotivation', 'sjubb', 'theoddthingaboutme', 'neveragain', 'sundayfunday', 'sundaythoughts', 'weremember', 'royalrumble', 'fakewizardofozfacts', 'kevin mccarthy', 'chris mullin', 'ampadu', 'rent live', 'mackey', 'trippier', 'elie wiesel', ""we're still here"", 'poch', 'carsen edwards', 'mac mcclung', 'tyler adams', 'dl hughley', 'auschwitz', 'terry crews', 'sundaymorning', 'holocaustremembranceday', 'itsthelgbtq', 'holocaustmemorialday', 'apologizetoanexin4words']"
27,2019-01-28,"['mythoughtsonmentalhealth', 'chicagosnow', 'tasa19', 'utleg', 'imadeamistakewhen', 'january28th', 'agentsofshield', 'helpoutin4words', 'endangeredschmovies', 'badthingstosayaftersex', 'musicmonday', 'privacyaware', 'toystory4', 'rhony', 'artwithtaehyung', 'shortyawards', 'motivationmonday', 'challenger', 'mondaymorning', 'mondaythoughts', 'retailsongs', 'birdsofprey', 'magic johnson', 'walter dean myers', 'ap top 25', 'newbery', 'hello lighthouse', 'caldecott', 'pels', 'harley quinn', 'bible literacy', 'rich paul', 'bo peep', 'ad to the lakers', 'ap poll', 'congressional budget office', 'invisible man', 'schultz', 'the poet x', 'birds of prey', 'mondaymood', 'kuzma', 'pelicans', 'lonzo', 'dataprivacyday', 'makemomhappyin3words', 'alayma', 'rolling loud', 'mondaymotivation', 'anthony davis']"
28,2019-01-29,"['collabtalk', 'seven25', 'oprahwinfrey', 'fedgis', 'cmworld', 'transformationtuesday', 'cmsqualcon19', 'astro1stwin', 'wemakewbur', 'triviatuesday', 'antiversary', 'stateoftheuniontypos', 'kingdomheart3', 'staywarm', 'empire', 'tiptuesday', 'tca19', 'sotn19', 'nationalpuzzleday', 'myfakeidsays', 'facetime', 'planforvacation', 'nationalplanforvacationday', 'superbowlpartyneeds', 'traveltuesday', 'tuesdaymorning', 'dan coats', 'fellaini', 'david culley', 'level 4', 'ufc 229', 'dni coats', 'raúl maldonado', 'brian cushing', 'tarek william saab', ""'empire'"", 'do not travel', 'freddy galvis', 'north korea and iran', 'khabib nurmagomedov', 'antarctica', 'jeff flake', 'kansasday', 'phillies', 'tuesdaymotivation', 'bryce harper', 'thisisyourpilotspeakingand', 'polarvortex2019', 'tuesdaythoughts', 'jussie smollett']"
29,2019-01-30,"['minnesotaweather', 'studentpressfreedom', 'worstsuperbowlpartyever', 'getmovingplay60', 'ongooddaysi', 'hq2scam', 'bellcause', 'sots2019', 'edchatua', 'wednesdaymorning', 'thingsiwilldowheniretire', 'wisdomwednesday', '30ene', 'deepfreeze', 'hbrwebinar', 'uofscimpact', 'morningjoe', 'wellnesswednesday', 'wallpaperwednesday', 'popularbkhalf', 'amazonanswersnyc', 'scenerybytaehyung', '풍경outnow', '1linewed', 'endthestigma', 'bellletstaikday', 'warmafilm', 'nationalcroissantday', 'wednesdaythoughts', 'sceneryoutnow', 'knockoffdatingapps', 'wednesdaymotivation', 'chiberia', 'known cheater', 'bbq grill', 'blizzard warning', 'johnny doc', 'scott walker', 'tyson foods', 'let it be', 'peter jackson', 'mike stoops', 'cheerios', 'franklin graham', 'foxconn', 'proudofyoutaehyung', 'sffpit', 'wednesdaywisdom', 'polarvortex', 'bellletstalk']"
30,2019-01-31,"['thirstythursday', 'protectourcourts', 'inspireyourheartwithartday', 'sustainforum', '31ene', 'siliconslopes', 'folklorethursday', 'tbthursday', 'techspo19', 'lowkey', 'fullerhouse', 'hardwhitevideo', 'swisbest2019', 'oursunsetjihyo', 'undocumentedinfants', 'learnlaunch2019', 'hardwhiteonvevo', 'moderndayclueanswers', 'thankyourmentorday', 'larain', 'thankfulthursday', 'jr100', 'jackie42', 'thesecondtimeisalways', 'thursdaymorning', 'ssts19', '194 felony cases and no time', 'the ncaa', 'nolan ryan', 'persona q2', 'dorothy brown', 'nycha', 'saquon barkley', 'plan país', 'noah rothman', 'dell demps', 'one lawyer', 'rookie of the year', 'happy 100th', 'saturday and live', 'dj envy', 'kelly bryant', 'onceisneverenoughfor', 'hard white', 'thursdaymotivation', 'nationalhotchocolateday', 'polarvotex2019', 'jackie robinson', 'herman cain', 'thursdaythoughts']"
31,2019-02-01,"['heartdisease', 'happyfebruary', 'downsizeafilm', 'wearredandgive', 'nationaltexasday', 'wrad2019', 'fdom19', 'hearthealth', 'friyay', 'americanheartmonth', 'netneutrality', 'corybooker2020', 'hunkerdownforharrison', 'nationalwearredday', 'fursuitfriday', 'booker2020', 'cory2020', 'oddreasonstothrowaparty', 'fridayreads', 'jobsreport', 'february1st', 'havasupai', 'hourlycomicday', 'heartmonth', 'newpasswordfortrump', 'whatmonalisaisthinking', 'hobbsandshaw', 'fridaythoughts', 'birthday month', 'meet day', 'idris elba', 'vice media', 'stormi', 'inf treaty', 'sojourner truth', 'ellen page', 'langston hughes', 'world read aloud day', 'lindsey vonn', 'fast & furious', 'hobbs and shaw', 'hobbs & shaw', 'julius peppers', 'worldreadaloudday2019', 'fridaymotivation', 'goredforwomen', 'wearredday', 'happy black history month', 'cory booker', 'blackhistorymonth']"
32,2019-02-02,"['sgebvb', 'bogense2019', 'everton', 'phil', 'thekitchen', 'coyb', 'b04fcb', 'virginiagovernor', 'saturdayvibes', 'spring', 'punxsutawney', 'tunneltoviaduct8k', 'nrc19', 'satchat', 'yourenotanerdif', '2feb', 'worldwetlandsday', 'edcampmaleads', 'evewol', 'northammustresign', 'whentheicethaws', 'northamshouldresign', 'taughtattheschoolofrock', 'totnew', 'northamresign', 'saturdaymotivation', 'saturdaythoughts', 'onmybirthdayiwant', 'dortmund', 'meet day', 'goodison', 'willian', 'leon bailey', 'bill murray', 'jack nicklaus and tiger woods', 'andre gomes', 'executive mansion', 'staten island chuck', 'huddersfield', 'kante', 'eden hazard', 'bayern', 'virginia democrat', 'early spring', 'amjoy', 'chehud', 'saturdaymorning', 'punxsutawney phil', 'superbowlin4words', 'groundhogday']"
